14982614696,VirtualRide,2025-07-02
14972737321,VirtualRide,2025-07-01
14962828382,VirtualRide,2025-06-30
14944031293,Ride,2025-06-28
14942325366,Ride,2025-06-28
14931758625,VirtualRide,2025-06-27
14910949370,VirtualRide,2025-06-25
14900311003,VirtualRide,2025-06-24
14893302306,VirtualRide,2025-06-23
14893133006,VirtualRide,2025-06-23
14885471752,Walk,2025-06-22
14870466364,Ride,2025-06-21
14859845151,VirtualRide,2025-06-20
14849566291,VirtualRide,2025-06-19
14838367120,VirtualRide,2025-06-18
14827087476,VirtualRide,2025-06-17
14826696597,VirtualRide,2025-06-17
14821696227,VirtualRide,2025-06-16
14796713106,Ride,2025-06-14
14785999986,VirtualRide,2025-06-13
14776198212,VirtualRide,2025-06-12
14764873280,VirtualRide,2025-06-11
14754376274,VirtualRide,2025-06-10
14743876410,VirtualRide,2025-06-09
14723920665,Ride,2025-06-07
14713735274,VirtualRide,2025-06-06
14703885956,VirtualRide,2025-06-05
14693700396,VirtualRide,2025-06-04
14655181864,Ride,2025-05-31
14637048414,Ride,2025-05-29
14616424543,VirtualRide,2025-05-27
14603142758,Ride,2025-05-26
14580675525,Ride,2025-05-24
14569847172,VirtualRide,2025-05-23
14554194008,Ride,2025-05-21
14554430380,Ride,2025-05-20
14554427735,Ride,2025-05-19
14438243120,Ride,2025-05-10
14315640935,Ride,2025-04-28
14292545545,Workout,2025-04-26
14291830555,Ride,2025-04-26
14245315946,Ride,2025-04-21
14155977132,Ride,2025-04-12
14126805808,Ride,2025-04-09
14091780762,Ride,2025-04-05
14061315646,Ride,2025-04-02
13985941649,Ride,2025-03-25
13956300467,Ride,2025-03-22
13760977659,Ride,2025-03-01
14187458803,Ride,2025-02-25
14187446838,Ride,2025-02-25
13718152494,Ride,2025-02-24
14187455311,Ride,2025-02-18
13651985768,Walk,2025-02-17
14187451217,Ride,2025-02-15
14187441715,Ride,2025-01-20
14187437425,Ride,2025-01-18
13374542989,Golf,2025-01-16
14187433632,Ride,2025-01-13
14187429759,Ride,2025-01-11
14197840468,Ride,2025-01-09
13248609164,Golf,2025-01-02
13234810170,Ride,2024-12-31
13231286444,Workout,2024-12-31
13223359983,Workout,2024-12-30
13207820402,Workout,2024-12-28
13182848713,Walk,2024-12-24
13176879874,Workout,2024-12-23
13162420104,Walk,2024-12-21
13141168166,Workout,2024-12-18
13016506758,Workout,2024-11-30
13009275540,Workout,2024-11-29
13002478750,Workout,2024-11-28
12998438671,Workout,2024-11-27
12951376544,Workout,2024-11-21
12929153242,Workout,2024-11-18
12808426238,Workout,2024-11-02
12751259206,Walk,2024-10-26
12748618535,Workout,2024-10-26
12737960493,Workout,2024-10-24
12722046472,Walk,2024-10-22
12695208930,Ride,2024-10-19
12638434510,Ride,2024-10-12
12600870870,Yoga,2024-10-07
12582414898,Ride,2024-10-05
12582065936,Ride,2024-10-05
12568158518,Ride,2024-10-03
12551639004,Ride,2024-10-01
12526386547,Yoga,2024-09-28
12526044350,Ride,2024-09-28
12517977588,Workout,2024-09-27
12512132284,Workout,2024-09-26
12505082174,Ride,2024-09-25
12504696688,Ride,2024-09-25
12491795403,Workout,2024-09-24
12483106321,Yoga,2024-09-23
12483113880,Workout,2024-09-23
12469141682,Yoga,2024-09-21
12468997339,Ride,2024-09-21
12458252386,Yoga,2024-09-20
12458074344,Workout,2024-09-20
12450255268,Workout,2024-09-19
12441532518,Workout,2024-09-18
12409444221,Ride,2024-09-14
12400123176,Ride,2024-09-13
12391313085,Yoga,2024-09-12
12383859381,Yoga,2024-09-11
12383867467,Workout,2024-09-10
12368511703,Ride,2024-09-09
12365574835,Yoga,2024-09-09
12351505322,Ride,2024-09-07
12332557122,Workout,2024-09-05
12324114026,Workout,2024-09-04
